"","destination","series","Afghanistan","Albania","Algeria","American Samoa","Andorra","Angola","Anguilla","Argentina","Armenia","Aruba","Australia","Austria","Azerbaijan","Bahamas","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Belize","Benin","Bermuda","Bhutan","Bolivia, Plurinational State of","Bosnia and Herzegovina","Botswana","Brazil","British Virgin Islands","Brunei Darussalam","Bulgaria","Burkina Faso","Burundi","Cambodia","Cameroon","Canada","Cape Verde","Cayman Islands","Central African Republic","Chad","Chile","China","Colombia","Comoros","Congo, Democratic Republic of the","Congo","Cook Islands","Costa Rica","Cote d'Ivoire","Croatia","Cuba","Curacao","Cyprus","Czech Republic","Denmark","Djibouti","Dominica","Dominican Republic","Ecuador","Egypt","El Salvador","Equatorial Guinea","Eritrea","Estonia","Ethiopia","Fiji","Finland","France","French Polynesia","Gabon","Gambia","Georgia","Germany","Ghana","Greece","Grenada","Guadeloupe","Guam","Guatemala","Guinea-Bissau","Guinea","Guyana","Haiti","Honduras","Hong Kong, China","Hungary","Iceland","India","Indonesia","Iran, Islamic Republic of","Iraq","Ireland","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kiribati","Korea, Democratic Peoples Republic of","Korea, Republic of","Kuwait","Kyrgyzstan","Lao People's Democratic Republic","Latvia","Lebanon","Lesotho","Liberia","Libyan Arab Jamahiriya","Liechtenstein","Lithuania","Luxembourg","Macao, China","Madagascar","Malawi","Malaysia","Maldives","Mali","Malta","Marshall Islands","Martinique","Mauritania","Mauritius","Mexico","Micronesia (Federated States Of)","Moldova, Republic of","Monaco","Mongolia","Montenegro","Montserrat","Morocco","Mozambique","Myanmar","Namibia","Nauru","Nepal","Netherlands","New Caledonia","New Zealand","Nicaragua","Niger","Nigeria","Niue","North Macedonia","Northern Mariana Islands","Norway","Oman","Pakistan","Palau","Palestine, State of","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Puerto Rico","Qatar","Romania","Russian Federation","Rwanda","Saint Lucia","Samoa","San Marino","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Slovakia","Slovenia","Solomon Islands","Somalia","South Africa","Spain","Sri Lanka","Sudan","Suriname","Swaziland","Sweden","Switzerland","Syrian Arab Republic","Taiwan, Province of China","Tajikistan","Thailand","Timor-Leste","Togo","Tonga","Tunisia","Turkey","Turkmenistan","Tuvalu","Uganda","Ukraine","United Arab Emirates","United Kingdom","United States Virgin Islands","United States of America","Uruguay","Uzbekistan","Vanuatu","Venezuela, Bolivarian Republic of","Viet Nam","Yemen","Zambia","Zimbabwe"
"116","New Zealand","VFR","1","3","4","4","3","4","1","3","2","3","4","2","1","4","4","2","3","2","3","2","1","2","2","4","2","1","1","2","1","4","2","4","1","3","4","1","4","3","2","4","3","1","2","4","2","1","3","2","4","2","2","2","2","2","4","3","4","2","1","1","4","1","4","4","4","4","4","2","3","3","2","2","4","2","1","3","4","1","3","3","3","3","2","3","2","4","2","3","2","4","1","2","1","4","4","1","3","1","4","4","4","3","2","1","4","3","1","3","4","4","1","1","1","2","2","4","3","1","4","3","1","2","1","2","1","3","3","4","3","3","4","2","1","2","3","2","1","2","3","2","4","4","3","2","3","1","1","3","3","3","3","2","2","3","3","4","4","4","1","2","1","1","1","1","2","2","2","3","2","4","2","4","1","3","4","1","3","4","2","1","3","4","1","3","1","3","1","3","2","1","1","3","4","2","4","3","1","1","1","3","3","1","1","3","1","1","1","3"
"117","Nicaragua","TFN","2","1","1","4","1","3","1","3","4","1","4","2","1","2","1","1","1","1","1","1","2","4","3","4","2","4","1","3","2","2","3","1","1","1","3","3","4","3","2","2","2","4","2","1","2","4","2","2","2","2","1","1","2","2","4","4","2","2","4","2","2","4","4","3","1","4","3","4","1","1","3","4","1","3","4","3","2","1","2","2","2","3","2","4","3","4","4","3","4","2","3","4","1","2","1","2","3","3","4","3","1","2","1","2","2","4","2","1","1","3","4","3","4","2","1","4","1","1","4","2","2","3","1","2","4","3","2","3","1","1","1","2","2","2","4","4","2","3","3","2","3","1","1","3","4","1","4","3","1","4","2","4","1","1","3","2","2","3","1","4","2","2","4","2","1","1","1","3","4","3","2","1","1","2","1","4","1","4","1","3","4","3","3","2","3","3","1","4","1","2","2","4","3","3","2","3","3","4","4","1","4","3","3","1","3","2","1","1"
"118","Niger","TFN","4","2","3","4","1","2","2","2","2","2","1","3","2","3","3","4","1","1","1","1","4","4","1","1","1","2","2","1","2","2","1","2","1","4","4","2","1","4","4","3","1","4","4","4","4","1","2","4","1","4","2","1","4","3","2","2","3","3","2","3","1","4","1","1","2","1","2","3","1","2","3","2","4","3","2","4","3","4","1","3","1","2","2","1","2","1","1","2","2","3","3","3","2","3","3","1","2","2","3","2","1","3","3","4","1","3","2","1","1","2","4","2","1","4","1","1","4","4","3","2","2","1","2","1","2","4","2","4","3","4","4","4","4","2","2","2","4","4","1","1","1","3","4","2","1","1","4","3","1","3","2","2","4","1","4","4","3","1","1","1","1","3","1","2","3","4","2","3","3","3","4","3","3","2","1","4","2","1","1","1","1","4","4","2","1","1","3","3","3","2","2","3","2","1","2","3","4","2","2","1","3","2","1","4","3","4","4","4"
"119","North Macedonia","THSN","3","3","3","4","4","4","4","3","3","1","3","2","3","3","1","2","1","2","3","1","1","3","4","2","4","1","2","4","4","3","1","1","3","1","2","2","4","3","2","1","1","4","2","4","1","3","4","3","3","3","4","3","1","3","1","2","1","1","2","3","4","2","1","1","4","2","1","3","2","4","2","1","1","3","4","2","1","2","2","3","4","1","1","1","4","2","3","3","3","2","2","1","3","4","4","4","1","2","1","3","3","4","4","1","2","4","2","3","3","2","3","4","3","3","1","4","4","2","3","2","3","1","1","2","4","1","3","1","4","3","4","3","4","3","4","4","3","1","3","2","4","3","1","4","4","3","2","3","3","3","2","3","3","2","2","2","3","1","3","4","1","4","1","3","1","4","4","2","2","2","3","1","1","3","1","4","4","4","2","1","2","2","3","3","2","2","3","1","2","4","3","2","4","3","2","1","4","2","2","3","4","3","2","3","1","1","1","4"
"120","Northern Mariana Islands","VFN","4","2","3","4","1","2","4","1","3","3","1","2","2","2","1","1","2","2","4","1","4","2","1","2","1","3","2","2","4","1","4","1","1","3","4","4","2","3","4","3","4","4","2","3","2","4","2","4","1","1","2","3","4","1","3","3","3","3","3","2","1","1","2","4","3","1","4","1","4","2","2","4","4","3","4","1","4","4","2","1","2","3","3","2","4","2","2","1","2","3","1","1","4","4","2","2","3","1","1","1","1","2","3","1","1","2","3","1","3","3","3","2","2","2","1","3","1","3","4","3","3","4","1","3","1","2","4","3","3","3","2","4","3","1","1","3","2","2","4","1","3","1","3","1","4","1","3","1","2","3","4","1","1","4","1","4","4","4","3","1","2","1","4","4","1","1","4","2","2","2","4","3","2","3","2","2","4","2","4","3","1","1","3","2","2","2","1","1","4","2","1","2","4","1","2","1","3","3","4","4","4","3","4","2","2","4","2","2"
"121","Norway","THSR","3","3","4","3","2","1","1","3","3","4","1","1","1","2","3","1","4","1","2","2","2","4","1","1","4","4","2","4","2","4","2","1","2","3","3","2","1","1","3","3","4","3","2","4","2","3","3","3","3","3","3","3","3","2","3","2","3","3","1","2","1","3","1","1","4","2","3","4","1","3","1","3","2","2","3","3","4","4","3","2","4","4","2","3","4","2","3","3","1","2","1","3","2","4","2","3","4","4","1","4","4","2","3","3","3","4","4","1","1","4","2","4","2","2","1","1","3","1","1","3","4","2","4","3","4","3","2","2","3","3","2","1","2","3","3","3","1","2","3","4","3","1","4","2","2","3","3","4","1","2","1","1","3","2","2","1","2","3","3","4","4","4","3","3","1","2","3","4","1","4","1","2","1","3","2","1","4","4","4","2","2","3","1","1","4","2","3","3","1","4","1","4","1","1","4","4","1","4","3","3","2","1","4","4","3","3","1","3"
"122","Oman","VFR","2","1","3","1","1","3","2","1","1","3","3","2","4","2","3","4","4","1","2","3","1","1","2","2","3","3","3","3","1","2","1","1","4","1","3","2","4","3","2","3","4","1","4","3","3","2","1","1","1","3","4","4","2","1","1","1","1","3","2","4","2","1","3","3","3","2","2","3","2","4","2","1","4","1","3","4","4","1","3","4","1","3","4","3","2","4","4","4","2","1","2","2","4","3","2","2","4","2","2","1","4","4","3","3","4","4","2","3","2","4","2","1","1","4","3","1","1","3","3","1","4","2","3","2","2","3","1","4","1","1","4","2","2","3","2","2","3","3","4","1","4","4","2","3","1","3","2","4","4","2","1","2","1","3","3","1","2","3","2","2","3","1","1","2","3","1","3","3","2","2","2","1","1","1","1","1","3","3","1","3","2","3","1","4","1","3","4","2","3","2","1","3","2","4","1","3","4","2","1","3","1","1","2","3","2","4","1","2"
"123","Palau","TFN","1","3","3","4","2","4","1","4","3","1","1","4","2","4","2","3","2","2","2","3","2","4","3","1","2","2","4","4","1","2","4","2","1","1","1","2","4","2","1","1","3","1","3","1","1","4","1","3","2","1","3","3","4","1","2","1","3","2","3","2","4","4","1","1","3","3","4","1","3","4","4","2","1","3","3","2","3","3","2","1","2","2","2","2","4","2","1","4","3","4","1","4","2","3","2","2","1","3","2","4","3","4","4","4","3","3","2","1","4","2","1","1","4","3","1","3","2","2","3","1","4","4","4","1","1","1","4","4","1","4","1","1","4","1","1","3","4","4","2","4","2","4","1","1","2","4","2","1","2","4","2","1","2","2","4","1","1","2","3","4","4","3","1","3","4","4","4","4","1","4","2","3","4","2","4","3","1","4","1","2","4","4","1","1","3","4","2","4","1","4","1","2","4","4","2","3","2","2","4","3","4","4","3","4","3","1","4","1"
"124","Palestine, State of","THSN","4","2","1","2","1","2","1","1","3","4","3","4","3","3","3","4","4","4","4","1","2","4","3","2","1","1","4","3","4","3","1","1","3","2","2","3","3","3","3","1","2","3","2","2","3","4","3","2","1","1","1","4","4","4","1","1","3","1","1","1","1","3","2","1","2","2","2","3","3","4","2","4","2","1","4","3","1","4","2","1","3","1","2","1","3","3","4","2","3","3","2","4","2","2","1","4","4","4","2","3","1","2","2","4","3","3","4","4","3","2","4","3","4","4","2","1","3","3","1","4","1","4","4","1","4","2","2","3","2","3","3","1","4","2","2","3","1","4","2","2","4","3","4","4","4","3","2","4","4","3","1","4","3","3","3","1","3","4","4","4","2","2","1","3","1","4","1","4","4","3","2","3","2","1","4","2","4","2","1","3","2","2","2","3","1","4","4","3","4","3","1","1","2","1","4","4","4","4","1","3","4","4","2","3","3","2","4","4"
"125","Panama","VFR","4","4","2","1","4","3","3","1","2","4","2","3","2","1","1","4","2","4","3","2","3","2","4","1","3","2","3","3","3","3","4","1","3","3","1","2","2","4","4","4","1","1","2","2","2","4","3","3","1","4","4","1","1","4","2","1","1","3","3","1","3","3","4","4","1","3","4","2","1","3","1","4","2","3","3","3","3","1","1","4","1","4","4","3","1","1","4","3","4","1","4","3","1","3","3","2","2","3","2","2","2","3","4","1","1","4","4","2","3","1","3","4","1","2","2","2","4","1","4","3","2","4","2","4","2","3","3","2","2","2","3","3","2","1","3","3","1","3","1","1","1","1","4","3","2","3","3","3","4","4","4","4","4","3","1","3","2","4","2","1","1","1","1","2","1","3","4","4","2","2","2","1","3","3","2","1","4","1","3","3","3","2","1","4","4","1","2","1","1","1","1","3","1","4","4","2","3","1","3","1","3","3","3","1","4","4","4","3"
"126","Papua New Guinea","VFR","4","2","1","1","3","1","3","4","1","1","3","1","3","4","3","1","4","4","4","4","1","3","2","3","1","2","3","4","1","4","4","4","2","2","4","4","3","1","2","3","1","4","3","2","3","4","4","3","3","4","3","1","3","4","3","2","4","2","1","4","1","4","4","2","4","1","4","4","3","2","1","2","1","4","3","3","2","3","3","4","2","3","2","2","2","2","4","1","3","3","1","4","2","2","3","1","3","2","4","4","1","1","3","2","2","3","4","4","2","4","1","3","4","4","2","3","1","2","1","1","3","3","2","2","4","3","1","2","2","2","1","1","1","2","4","1","1","3","1","2","1","1","1","1","2","2","1","1","1","3","4","1","2","1","4","2","2","1","4","2","2","2","1","1","1","4","4","3","3","4","4","4","3","4","2","3","1","2","1","3","3","3","2","4","1","2","4","4","3","3","3","3","1","1","3","3","2","4","1","2","2","2","2","2","2","4","3","4"
"127","Paraguay","TFN","4","3","1","4","1","3","4","1","2","3","2","1","2","4","2","4","3","4","1","3","3","3","1","4","1","4","2","2","3","2","4","1","2","2","3","4","1","4","2","1","2","2","4","3","3","2","1","2","4","4","1","4","4","4","3","1","1","4","1","4","3","1","3","2","1","3","1","3","4","1","4","4","4","4","4","2","3","4","1","4","3","2","4","4","1","4","2","4","3","1","1","3","4","3","2","3","4","2","1","3","2","1","3","3","1","1","3","2","4","4","1","1","3","3","1","3","4","2","1","1","2","3","4","2","4","1","3","3","1","4","2","1","4","3","2","2","3","2","4","2","2","2","2","2","1","1","2","1","4","1","3","1","2","1","1","1","1","4","2","4","3","1","3","1","1","2","3","3","2","2","1","3","3","2","4","2","2","4","1","3","2","4","4","3","1","3","3","1","2","2","1","1","1","4","2","4","1","3","4","1","3","3","3","2","2","2","1","4"
"128","Peru","THSN","2","3","1","3","1","3","3","1","3","4","3","2","4","1","1","1","3","1","2","1","4","4","3","2","1","2","2","3","4","1","4","4","1","1","4","2","3","3","4","4","2","1","1","3","1","4","4","2","4","2","2","3","1","4","1","1","3","2","4","1","3","2","3","3","2","3","2","3","2","3","2","4","1","1","2","2","1","2","4","3","3","2","2","2","1","1","1","2","2","2","4","4","4","2","2","2","2","2","4","1","2","3","4","3","2","3","4","4","1","4","3","4","2","2","2","1","1","1","1","4","2","2","1","2","2","1","3","1","4","3","1","4","4","3","4","1","1","2","4","2","4","1","4","2","4","4","2","3","2","2","4","2","3","1","4","1","4","4","4","2","4","3","3","3","1","2","2","3","4","4","2","2","4","4","4","3","4","2","3","1","4","4","3","2","4","1","3","4","1","2","2","3","4","2","3","4","1","1","3","2","2","3","3","1","3","4","1","3"
"129","Philippines","TFR","1","3","2","2","2","1","1","4","4","3","3","4","3","2","3","1","3","3","4","3","3","2","2","1","3","4","2","1","3","2","1","2","2","3","2","4","1","4","2","2","3","3","4","1","2","4","1","4","3","4","2","1","2","3","3","4","1","3","3","4","1","4","3","3","1","4","1","4","4","4","4","2","1","2","3","1","4","1","4","4","2","2","2","2","4","2","4","4","2","4","3","3","1","3","1","1","3","2","4","3","4","1","3","4","3","3","4","1","3","3","1","4","4","1","4","2","2","2","1","2","4","4","4","1","1","4","3","3","4","2","4","3","1","2","2","4","1","1","2","4","1","2","4","3","4","4","2","4","3","3","4","3","2","4","2","3","1","3","4","4","4","4","3","2","1","4","1","2","1","3","3","4","1","2","2","3","2","1","3","2","3","1","4","1","2","3","1","3","4","2","3","2","3","4","2","1","4","3","3","4","1","3","2","1","4","4","3","1"
"130","Poland","VFN","4","3","4","4","1","3","3","3","3","3","4","4","3","1","2","3","3","1","3","4","3","1","1","1","3","2","3","2","1","4","4","3","4","2","3","4","4","4","1","1","3","2","2","1","1","3","2","3","3","4","4","4","1","2","2","4","4","4","2","4","4","1","3","2","1","3","3","3","3","3","1","3","2","3","3","1","1","4","3","2","2","1","4","1","3","2","4","4","4","3","1","1","3","4","3","4","1","3","3","2","3","1","1","2","3","3","2","3","3","2","3","3","4","4","1","3","1","2","3","3","3","2","3","3","2","4","3","3","4","3","3","2","2","1","4","3","4","2","2","1","4","1","2","1","4","3","4","3","2","3","1","3","3","3","2","2","3","2","1","1","2","2","3","3","1","4","2","3","2","4","3","4","4","3","4","1","3","2","4","2","4","3","2","1","1","3","4","4","2","1","1","2","2","2","4","3","3","4","3","1","3","4","1","3","2","2","3","2"
"131","Portugal","THSR","1","2","3","2","1","4","3","1","3","2","3","4","1","3","2","2","1","1","3","2","1","4","4","1","4","4","3","3","1","4","1","2","2","1","2","2","1","1","3","1","1","4","1","3","2","2","3","2","1","4","2","4","4","4","2","2","2","4","3","2","2","1","1","2","3","3","4","3","3","3","4","2","2","3","2","2","1","3","3","1","1","2","1","2","4","1","4","3","4","1","3","1","1","1","3","4","1","4","4","1","2","4","2","3","3","4","4","2","4","1","4","2","4","1","2","1","3","2","1","3","3","1","3","3","3","2","4","1","1","4","4","4","1","2","3","4","3","4","4","2","3","2","4","3","1","2","1","2","3","3","2","1","3","4","3","1","2","2","2","1","1","1","1","3","2","2","4","1","2","3","2","1","4","3","3","3","2","1","4","1","4","1","1","2","1","2","3","1","3","4","2","2","1","3","2","1","3","1","3","1","4","4","2","2","2","2","4","1"
"132","Puerto Rico","THSR","3","3","3","3","3","2","2","2","4","3","4","2","2","2","4","1","4","4","1","2","4","3","1","2","2","2","1","3","3","1","2","2","4","1","2","3","1","1","1","1","2","1","2","3","4","3","4","3","1","2","2","4","4","2","4","3","4","1","3","2","4","2","2","2","4","4","1","1","1","4","3","3","1","4","2","2","2","1","1","1","4","1","4","1","4","3","3","4","2","2","2","1","4","2","4","3","1","4","4","4","2","4","3","1","3","1","1","1","4","3","1","4","4","1","1","1","4","4","4","2","3","2","4","4","3","3","3","4","2","4","2","4","3","4","3","2","4","3","3","1","1","2","1","4","2","2","2","2","3","1","2","4","3","4","2","4","4","1","3","2","3","3","4","3","1","3","1","1","2","2","1","4","1","4","1","4","3","1","4","1","4","1","1","1","3","4","4","1","3","3","3","4","1","2","4","2","4","1","3","2","2","1","3","2","4","2","3","4"
"133","Qatar","VFN","1","3","1","4","2","4","2","1","4","3","3","3","3","4","4","1","3","2","4","4","3","2","2","3","4","4","1","1","1","1","4","3","2","4","1","2","2","2","1","3","1","2","3","1","1","3","1","3","3","4","1","4","2","1","2","4","1","1","2","4","2","1","2","2","4","2","4","2","2","4","3","4","2","2","4","2","4","4","4","2","1","2","3","1","2","1","2","3","1","4","2","2","3","3","1","1","1","3","1","3","2","2","3","3","1","2","4","2","2","4","2","4","1","2","1","3","2","2","1","1","3","2","2","4","3","4","2","3","3","1","1","4","1","1","2","1","2","2","2","2","2","1","2","1","4","4","4","4","3","2","2","3","4","3","4","2","4","3","4","1","2","2","1","1","3","3","1","2","3","3","1","3","2","1","3","3","2","1","3","3","1","3","1","4","3","3","1","1","4","1","3","1","1","4","4","2","2","2","1","2","3","4","4","2","3","2","1","3"
"134","Reunion","TFR","3","1","1","3","3","2","3","4","4","2","1","4","2","2","4","2","1","3","4","4","2","3","3","1","2","1","2","2","2","2","1","2","2","1","4","2","2","3","4","1","4","2","4","4","2","1","1","4","1","3","4","3","1","3","4","2","4","1","1","2","3","2","3","4","3","3","4","1","3","4","2","1","4","3","2","4","3","2","3","3","1","1","3","4","1","2","1","1","4","2","2","2","3","3","1","3","2","2","3","1","2","3","4","4","4","2","2","2","1","2","1","4","3","1","1","1","1","2","1","1","2","2","4","1","1","2","3","2","1","4","4","3","2","3","4","1","1","2","3","4","4","1","1","4","2","1","3","4","2","1","4","1","4","4","2","1","1","3","3","2","2","3","2","4","4","2","3","3","2","3","3","3","3","1","2","1","3","4","4","2","4","2","2","2","3","3","4","3","4","1","3","1","1","1","3","4","2","3","1","2","3","4","1","4","3","4","3","1"
"135","Romania","VFR","4","4","2","2","1","1","3","3","4","4","4","4","1","1","3","4","3","4","1","2","3","2","4","1","1","2","2","4","2","4","2","4","4","3","2","4","1","3","3","3","4","3","3","3","3","1","4","2","4","1","2","2","3","4","2","3","2","2","2","1","1","3","4","1","4","1","1","3","2","4","3","3","3","4","3","3","2","3","1","4","1","3","2","2","2","3","2","2","3","2","4","3","2","3","3","2","4","4","2","2","4","3","1","4","2","2","4","1","1","4","3","2","1","3","1","3","2","4","1","2","3","4","1","4","1","2","1","1","4","2","2","3","4","2","2","3","3","4","1","1","2","1","3","1","2","1","4","4","2","4","4","1","2","3","4","2","1","2","2","2","3","3","3","2","1","4","3","2","2","3","1","1","3","2","3","3","1","2","1","1","4","3","1","4","4","2","4","1","2","3","1","1","1","1","1","1","2","2","4","1","3","2","3","3","1","4","4","1"
"136","Russian Federation","VFN","4","2","1","1","4","3","3","3","3","3","2","2","4","2","3","3","3","3","3","2","3","1","4","2","1","1","3","1","1","3","1","3","1","1","2","1","4","1","4","2","4","1","3","1","1","1","3","1","2","4","3","1","2","2","2","4","2","4","1","2","2","2","3","3","1","3","3","3","4","3","1","2","1","3","3","1","2","4","1","3","1","4","3","1","1","1","4","1","2","3","1","4","2","4","2","4","4","3","3","3","2","4","3","2","4","4","1","2","2","1","1","3","4","4","1","3","4","4","3","1","2","4","1","1","3","2","3","1","4","2","2","3","1","2","1","1","1","2","4","1","4","2","1","4","4","2","1","4","2","1","4","2","3","4","1","1","2","1","4","1","4","1","1","1","4","4","4","2","1","2","4","1","2","2","2","4","1","4","4","2","3","4","2","4","4","3","4","1","2","4","4","3","4","1","4","4","1","1","3","4","1","3","3","3","3","4","1","1"
"137","Rwanda","VFN","3","2","4","4","3","4","1","1","1","4","3","3","1","3","3","4","4","3","2","1","3","3","3","1","2","3","1","4","1","2","1","4","4","3","3","1","1","3","1","2","1","3","4","3","4","4","3","3","1","3","3","2","4","1","3","2","4","1","3","2","4","2","4","3","4","1","4","4","4","3","4","4","3","1","1","3","4","1","1","2","4","4","1","1","2","2","1","4","3","2","2","3","4","1","4","3","3","3","4","1","3","2","3","1","2","2","1","1","3","4","4","3","2","1","3","1","1","3","3","2","1","3","4","1","4","3","2","1","3","2","1","1","4","2","2","4","1","4","4","2","2","2","4","2","4","2","1","4","4","4","3","3","2","4","4","1","2","1","1","2","2","2","1","4","4","2","3","4","2","2","2","1","3","4","3","1","2","3","3","4","4","3","2","3","1","1","1","4","2","2","1","3","4","3","4","1","3","1","4","4","3","2","1","1","4","2","2","4"
"138","Saint Kitts and Nevis","TFR","3","3","4","3","4","1","3","1","3","2","1","4","2","3","2","3","3","2","4","3","4","3","1","1","4","2","2","4","3","4","1","2","2","3","1","3","1","2","4","4","4","3","1","2","1","1","4","1","2","1","4","2","2","2","2","4","2","3","4","4","3","4","4","2","4","4","1","2","3","4","3","1","4","1","3","1","2","4","4","2","3","2","3","2","1","1","4","3","4","4","1","4","1","1","3","3","2","4","4","4","1","1","2","2","3","4","4","3","3","2","2","4","3","4","4","2","1","4","1","3","2","1","1","1","2","2","1","2","3","3","1","4","4","4","1","3","1","4","1","1","4","2","3","3","3","2","2","1","3","4","1","2","2","2","3","4","3","4","2","4","2","4","3","1","4","3","2","4","2","1","3","2","4","2","3","3","1","4","2","3","3","1","1","4","3","2","3","2","3","3","4","4","2","3","1","4","2","2","1","3","2","3","2","2","1","4","3","2"
"139","Saint Lucia","TFR","4","3","3","4","2","3","4","2","2","3","1","4","3","1","2","1","4","3","4","1","4","2","2","2","1","3","1","2","2","4","1","2","1","4","3","3","3","2","3","1","4","4","1","3","4","4","2","3","2","4","2","1","4","2","4","2","4","4","1","3","3","1","2","1","2","4","2","1","3","2","3","1","4","4","1","4","2","1","3","4","4","4","2","4","3","3","1","4","4","1","2","4","1","1","4","2","1","1","3","2","4","1","4","1","3","3","2","3","4","3","1","3","1","3","2","1","4","2","3","4","2","3","1","1","3","1","1","1","3","3","2","4","3","1","2","2","3","1","4","2","3","1","3","3","3","1","2","4","2","1","3","1","2","2","1","4","2","2","1","2","2","2","4","2","1","3","2","2","2","4","4","1","2","1","3","2","3","1","2","2","3","4","2","3","4","1","4","3","2","4","4","4","1","3","4","4","1","2","3","1","1","2","2","1","2","1","3","1"
"140","Saint Vincent and The Grenadines","TFR","2","2","1","3","2","3","2","4","4","4","2","1","2","3","4","1","1","4","1","1","3","4","3","3","3","1","2","2","1","1","3","4","1","1","2","1","4","1","3","3","1","2","1","3","4","3","2","3","4","4","4","2","1","4","4","1","1","3","2","2","3","3","3","4","3","1","4","3","1","1","3","3","4","3","2","3","3","1","1","3","4","3","1","1","3","4","1","3","2","3","1","2","3","3","2","4","3","1","4","4","4","2","1","3","3","2","1","3","3","1","3","1","3","2","1","2","4","4","2","3","2","1","2","3","4","3","4","2","4","1","1","3","3","2","3","3","2","1","1","1","3","1","1","3","3","4","4","2","3","1","2","1","1","2","4","1","3","3","2","2","1","4","2","2","2","2","4","1","2","2","4","1","1","4","2","3","4","1","1","2","4","2","2","3","2","1","2","1","2","1","4","3","1","1","2","4","2","2","2","3","1","4","3","3","3","3","4","2"
"141","Samoa","VFR","4","3","3","2","4","4","2","2","4","4","3","1","4","3","1","1","1","2","4","2","4","4","3","1","1","4","3","1","2","2","3","1","4","4","3","4","2","2","2","1","3","4","3","2","4","4","1","4","4","1","3","1","1","3","3","1","3","4","1","4","4","1","3","4","2","2","1","2","4","4","4","4","1","1","3","4","4","2","2","3","4","1","2","1","2","2","4","3","1","2","1","1","1","1","4","2","4","4","1","1","1","3","1","2","3","4","1","1","2","2","3","3","1","2","4","1","2","2","1","2","3","2","1","1","4","2","2","1","4","4","4","2","1","2","3","2","1","4","4","2","1","2","4","2","2","2","2","1","3","2","3","2","2","4","2","1","3","1","1","2","1","3","4","1","1","2","4","1","3","3","4","1","1","3","3","1","4","4","3","2","3","1","4","4","1","3","2","4","2","2","2","4","2","2","1","2","4","1","4","2","3","1","1","1","2","4","3","2"
"142","San Marino","VFN","3","1","4","1","3","3","1","4","3","1","2","4","1","3","4","3","3","1","4","2","1","2","1","4","1","1","1","3","3","4","3","1","2","3","2","2","1","2","4","2","4","3","1","2","4","2","4","4","1","2","4","2","1","1","2","1","3","3","4","2","3","1","3","2","2","1","4","1","2","3","4","1","1","4","3","2","2","1","4","3","1","2","4","1","2","2","1","4","4","3","3","3","2","3","2","1","4","4","3","1","1","2","1","2","4","2","1","1","4","3","4","1","1","2","4","1","3","1","4","2","1","3","1","1","1","3","4","1","4","2","4","4","3","1","4","3","2","3","1","4","3","3","4","1","1","3","3","2","2","4","1","4","1","2","4","2","3","1","2","3","1","2","3","2","2","1","3","4","2","4","3","2","4","2","1","2","1","3","3","3","4","4","2","4","3","1","2","1","3","2","3","1","4","4","4","4","2","1","3","4","3","3","4","4","3","3","4","1"
"143","Saudi Arabia","TFN","1","3","4","1","1","1","4","2","1","2","1","4","3","2","2","2","3","3","4","1","1","1","2","2","3","2","4","2","2","4","4","3","2","4","1","3","1","3","3","1","3","3","1","1","3","4","4","2","1","4","3","3","3","2","1","2","4","4","4","3","1","1","1","4","3","3","4","1","2","1","1","4","3","3","1","4","1","4","2","1","4","2","3","3","3","4","3","1","3","4","4","3","3","1","3","4","1","1","1","1","3","1","4","4","1","2","1","2","1","3","3","1","2","4","2","3","4","2","1","4","3","3","4","2","4","2","4","1","1","4","4","4","3","2","2","1","4","1","2","1","1","2","2","2","4","4","4","1","3","2","4","2","2","1","3","3","1","4","1","2","3","2","4","3","4","3","2","2","3","1","1","4","4","2","2","3","4","1","1","1","4","3","3","1","2","1","3","2","1","4","2","2","3","3","1","4","1","4","4","4","2","2","4","1","3","4","4","3"
"144","Serbia","THSN","3","1","2","4","1","3","3","3","2","1","2","1","3","1","2","1","4","3","1","1","1","2","1","1","4","2","3","4","1","2","2","2","3","4","1","4","1","1","2","1","2","1","1","1","4","3","3","1","4","3","1","2","1","3","2","3","1","2","1","2","4","3","2","2","1","2","2","4","4","3","2","2","3","3","3","1","4","1","1","2","1","4","4","1","4","2","3","4","1","2","1","3","3","3","4","2","3","4","2","4","3","4","3","2","4","4","2","3","2","3","4","2","2","1","2","3","2","1","3","4","2","4","3","2","3","1","2","3","3","1","2","1","3","2","3","4","2","1","1","4","2","2","4","1","1","2","1","2","1","2","2","4","1","3","1","2","1","3","4","4","1","3","1","1","4","2","4","1","1","2","3","1","3","1","3","4","4","2","1","1","1","3","3","1","2","3","3","2","4","2","1","4","4","3","4","1","3","4","1","2","4","4","4","1","1","1","4","2"
